ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,occurrenceID,type,identifier,rightsHolder,publisher,license,datasetID
"<a href=""https://resolver.libis.be/FL17306011/stream"" target=""_url_details"">https://resolver.libis.be/FL17306011/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000018,StillImage,"<a href=""https://resolver.libis.be/FL17306011/stream"" target=""_url_details"">https://resolver.libis.be/FL17306011/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306012/stream"" target=""_url_details"">https://resolver.libis.be/FL17306012/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000018,StillImage," <a href=""https://resolver.libis.be/FL17306012/stream"" target=""_url_details"">https://resolver.libis.be/FL17306012/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306013/stream"" target=""_url_details"">https://resolver.libis.be/FL17306013/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000018,StillImage," <a href=""https://resolver.libis.be/FL17306013/stream"" target=""_url_details"">https://resolver.libis.be/FL17306013/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306026/stream"" target=""_url_details"">https://resolver.libis.be/FL17306026/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000019,StillImage,"<a href=""https://resolver.libis.be/FL17306026/stream"" target=""_url_details"">https://resolver.libis.be/FL17306026/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306027/stream"" target=""_url_details"">https://resolver.libis.be/FL17306027/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000019,StillImage," <a href=""https://resolver.libis.be/FL17306027/stream"" target=""_url_details"">https://resolver.libis.be/FL17306027/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306028/stream"" target=""_url_details"">https://resolver.libis.be/FL17306028/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000019,StillImage," <a href=""https://resolver.libis.be/FL17306028/stream"" target=""_url_details"">https://resolver.libis.be/FL17306028/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306039/stream"" target=""_url_details"">https://resolver.libis.be/FL17306039/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000020,StillImage,"<a href=""https://resolver.libis.be/FL17306039/stream"" target=""_url_details"">https://resolver.libis.be/FL17306039/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306040/stream"" target=""_url_details"">https://resolver.libis.be/FL17306040/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000020,StillImage," <a href=""https://resolver.libis.be/FL17306040/stream"" target=""_url_details"">https://resolver.libis.be/FL17306040/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306051/stream"" target=""_url_details"">https://resolver.libis.be/FL17306051/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000021,StillImage,"<a href=""https://resolver.libis.be/FL17306051/stream"" target=""_url_details"">https://resolver.libis.be/FL17306051/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306052/stream"" target=""_url_details"">https://resolver.libis.be/FL17306052/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000021,StillImage," <a href=""https://resolver.libis.be/FL17306052/stream"" target=""_url_details"">https://resolver.libis.be/FL17306052/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
