dwc:catalogNumber,dwc:ownerInstitutionCode,dwc:collectionCode,dwc:otherCatalogNumbers,dwc:individualCount,dcw:verbatimLabel,dwc:preparations,ABCD:KindOfUnit,dwc:sex,dwc:lifeStage,dwc:scientificName,dwc:taxonRank,dwc:typeStatus,dwc:vernacularName,dwc:previousIdentifications,dwc:eventDate_from,dwc:eventDate_to,dwc:recordedBy_collector,dwc:continent,dwc:countryCode,dwc:country,dwc:locality,dwc:decimalLongitude,dwc:decimalLatitude,dwc:coordinateUncertaintyInMeters,Spectrum:acquisitionMethod,Spectrum:acquisitionSource,Spectrum:acquisitionDate,dwc_ExtensionSimpleMultimedia:identifier,dwc_ExtensionSimpleMultimedia:rightsHolder,dwc_ExtensionSimpleMultimedia:license
MUD000303,KU Leuven,Museum of Zoology,1301,1,"1301<br/>Kleine zwartkop<br/>sylvia melanocephala<br/>ad<br/>♂<br/>zomer","mounted: mounted skin",complete specimen,male,adult,"Sylvia melanocephala (Gmelin, 1789)",species,not applicable,Sardinian Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216263/stream"" target=""_url_details"">https://resolver.libis.be/FL17216263/stream</a>; <a href=""https://resolver.libis.be/FL17216264/stream"" target=""_url_details"">https://resolver.libis.be/FL17216264/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000304,KU Leuven,Museum of Zoology,599,1,"599<br/>Tuinfluiter<br/>sylvia borin<br/>ad ♂<br/>lente<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Sylvia borin (Boddaert, 1783)",species,not applicable,Garden Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216275/stream"" target=""_url_details"">https://resolver.libis.be/FL17216275/stream</a>; <a href=""https://resolver.libis.be/FL17216276/stream"" target=""_url_details"">https://resolver.libis.be/FL17216276/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000305,KU Leuven,Museum of Zoology,806,1,"806<br/>Kleine Zwartkop<br/>sylvia melanocephala<br/>ad<br/>♀<br/>Samtkopfgrasmücke<br/>SCHLÜTER KG","mounted: mounted skin",complete specimen,female,adult,"Sylvia melanocephala (Gmelin, 1789)",species,not applicable,Sardinian Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216289/stream"" target=""_url_details"">https://resolver.libis.be/FL17216289/stream</a>; <a href=""https://resolver.libis.be/FL17216290/stream"" target=""_url_details"">https://resolver.libis.be/FL17216290/stream</a>; <a href=""https://resolver.libis.be/FL17216291/stream"" target=""_url_details"">https://resolver.libis.be/FL17216291/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000306,KU Leuven,Museum of Zoology,928,1,"928<br/>Tuinfluiter<br/>sylvia borin<br/>ad ♂<br/>voorjaar<br/>Tuinfluiter<br/>MHW<br/>♂ kaken iets grijzer dan ♀<br/>♂ flanken + borst iets donkerder dan ♀","mounted: mounted skin",complete specimen,male,adult,"Sylvia borin (Boddaert, 1783)",species,not applicable,Garden Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216302/stream"" target=""_url_details"">https://resolver.libis.be/FL17216302/stream</a>; <a href=""https://resolver.libis.be/FL17216303/stream"" target=""_url_details"">https://resolver.libis.be/FL17216303/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000307,KU Leuven,Museum of Zoology,1166,1,"1166<br/>sylvia atricapilla<br/>Zwartkop<br/>ad<br/>♀<br/>november","mounted: mounted skin",complete specimen,female,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216314/stream"" target=""_url_details"">https://resolver.libis.be/FL17216314/stream</a>; <a href=""https://resolver.libis.be/FL17216315/stream"" target=""_url_details"">https://resolver.libis.be/FL17216315/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000308,KU Leuven,Museum of Zoology,276,1,"276<br/>Tuinfluiter<br/>sylvia borin<br/>ad.<br/>Tuinfluiter<br/>1965","mounted: mounted skin",complete specimen,,adult,"Sylvia borin (Boddaert, 1783)",species,not applicable,Garden Warbler,,1965,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216326/stream"" target=""_url_details"">https://resolver.libis.be/FL17216326/stream</a>; <a href=""https://resolver.libis.be/FL17216327/stream"" target=""_url_details"">https://resolver.libis.be/FL17216327/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000309,KU Leuven,Museum of Zoology,882,1,"882<br/>sylvia atricapilla<br/>Zwartkop<br/>ad<br/>♂<br/>paarkleed","mounted: mounted skin",complete specimen,male,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216338/stream"" target=""_url_details"">https://resolver.libis.be/FL17216338/stream</a>; <a href=""https://resolver.libis.be/FL17216339/stream"" target=""_url_details"">https://resolver.libis.be/FL17216339/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000310,KU Leuven,Museum of Zoology,275,1,"275<br/>Tuinfluiter<br/>sylvia borin<br/>ad ♂<br/>Rijkevorsel<br/>tuinfluiter<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Sylvia borin (Boddaert, 1783)",species,not applicable,Garden Warbler,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216350/stream"" target=""_url_details"">https://resolver.libis.be/FL17216350/stream</a>; <a href=""https://resolver.libis.be/FL17216351/stream"" target=""_url_details"">https://resolver.libis.be/FL17216351/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000311,KU Leuven,Museum of Zoology,716,1,"716<br/>Tuinfluiter<br/>sylvia borin<br/>ad ♀<br/>lente<br/>tuinfluiter<br/>PoP","mounted: mounted skin",complete specimen,female,adult,"Sylvia borin (Boddaert, 1783)",species,not applicable,Garden Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216362/stream"" target=""_url_details"">https://resolver.libis.be/FL17216362/stream</a>; <a href=""https://resolver.libis.be/FL17216363/stream"" target=""_url_details"">https://resolver.libis.be/FL17216363/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000312,KU Leuven,Museum of Zoology,282,1,"282<br/>sylvia atricapilla<br/>Zwartkop grasmus<br/>ad<br/>♀<br/>lente<br/>Bornem","mounted: mounted skin",complete specimen,female,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Mechelen, Bornem",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216374/stream"" target=""_url_details"">https://resolver.libis.be/FL17216374/stream</a>; <a href=""https://resolver.libis.be/FL17216375/stream"" target=""_url_details"">https://resolver.libis.be/FL17216375/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000313,KU Leuven,Museum of Zoology,281,1,"281<br/>sylvia atricapilla<br/>Zwartkop grasmus<br/>ad<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216386/stream"" target=""_url_details"">https://resolver.libis.be/FL17216386/stream</a>; <a href=""https://resolver.libis.be/FL17216387/stream"" target=""_url_details"">https://resolver.libis.be/FL17216387/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000314,KU Leuven,Museum of Zoology,280,1,"280<br/>sylvia atricapilla<br/>Zwartkop grasmus<br/>ad<br/> ♂<br/>Rijkevorsel","mounted: mounted skin",complete specimen,male,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216398/stream"" target=""_url_details"">https://resolver.libis.be/FL17216398/stream</a>; <a href=""https://resolver.libis.be/FL17216399/stream"" target=""_url_details"">https://resolver.libis.be/FL17216399/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000315,KU Leuven,Museum of Zoology,277,1,"277<br/>Grasmus<br/>sylvia communis<br/>ad ♂<br/>lente<br/>Rijkevorsel<br/>grasmus<br/>adult ♂<br/>lente<br/>66","mounted: mounted skin",complete specimen,male,adult,"Sylvia communis Latham, 1787",species,not applicable,Common Whitethroat,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216410/stream"" target=""_url_details"">https://resolver.libis.be/FL17216410/stream</a>; <a href=""https://resolver.libis.be/FL17216411/stream"" target=""_url_details"">https://resolver.libis.be/FL17216411/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000316,KU Leuven,Museum of Zoology,570,1,"570<br/>sylvia atricapilla<br/>Zwartkop grasmus<br/>ad<br/>♂<br/>mei<br/>Beerse/Rijkevorsel","mounted: mounted skin",complete specimen,male,adult,"Sylvia atricapilla (Linnaeus, 1758)",species,not applicable,Eurasian Blackcap,,,,,Europe,BE,Belgium,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216422/stream"" target=""_url_details"">https://resolver.libis.be/FL17216422/stream</a>; <a href=""https://resolver.libis.be/FL17216423/stream"" target=""_url_details"">https://resolver.libis.be/FL17216423/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000317,KU Leuven,Museum of Zoology,1104,1,"1104<br/>Grasmus<br/>sylvia communis<br/>ad ♀<br/>september<br/>P","mounted: mounted skin",complete specimen,female,adult,"Sylvia communis Latham, 1787",species,not applicable,Common Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216434/stream"" target=""_url_details"">https://resolver.libis.be/FL17216434/stream</a>; <a href=""https://resolver.libis.be/FL17216435/stream"" target=""_url_details"">https://resolver.libis.be/FL17216435/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000318,KU Leuven,Museum of Zoology,279,1,"279<br/>Braamsluiper<br/>sylvia curruca<br/>ad<br/>♂<br/>herfst","mounted: mounted skin",complete specimen,male,adult,"Sylvia curruca (Linnaeus, 1758)",species,not applicable,Lesser Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216446/stream"" target=""_url_details"">https://resolver.libis.be/FL17216446/stream</a>; <a href=""https://resolver.libis.be/FL17216447/stream"" target=""_url_details"">https://resolver.libis.be/FL17216447/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000319,KU Leuven,Museum of Zoology,1210,1,"1210<br/>Braamsluiper<br/>sylvia curruca<br/>ad<br/>♂<br/>zomer","mounted: mounted skin",complete specimen,male,adult,"Sylvia curruca (Linnaeus, 1758)",species,not applicable,Lesser Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216458/stream"" target=""_url_details"">https://resolver.libis.be/FL17216458/stream</a>; <a href=""https://resolver.libis.be/FL17216459/stream"" target=""_url_details"">https://resolver.libis.be/FL17216459/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000320,KU Leuven,Museum of Zoology,557,1,"557<br/>Grasmus<br/>sylvia communis<br/>ad ♀<br/>zomer<br/>grasmus<br/>♀","mounted: mounted skin",complete specimen,female,adult,"Sylvia communis Latham, 1787",species,not applicable,Common Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216470/stream"" target=""_url_details"">https://resolver.libis.be/FL17216470/stream</a>; <a href=""https://resolver.libis.be/FL17216471/stream"" target=""_url_details"">https://resolver.libis.be/FL17216471/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000321,KU Leuven,Museum of Zoology,753,1,"753<br/>Braamsluiper<br/>sylvia curruca<br/>ad<br/>Sylvia curruca<br/>Klappergrasmücke","mounted: mounted skin",complete specimen,,adult,"Sylvia curruca (Linnaeus, 1758)",species,not applicable,Lesser Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216484/stream"" target=""_url_details"">https://resolver.libis.be/FL17216484/stream</a>; <a href=""https://resolver.libis.be/FL17216485/stream"" target=""_url_details"">https://resolver.libis.be/FL17216485/stream</a>; <a href=""https://resolver.libis.be/FL17216486/stream"" target=""_url_details"">https://resolver.libis.be/FL17216486/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000322,KU Leuven,Museum of Zoology,278,1,"278<br/>Grasmus<br/>sylvia communis<br/>ad ♂<br/>lente<br/>grasmus<br/>adult ♂<br/>lente<br/>66","mounted: mounted skin",complete specimen,male,adult,"Sylvia communis Latham, 1787",species,not applicable,Common Whitethroat,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216497/stream"" target=""_url_details"">https://resolver.libis.be/FL17216497/stream</a>; <a href=""https://resolver.libis.be/FL17216498/stream"" target=""_url_details"">https://resolver.libis.be/FL17216498/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000323,KU Leuven,Museum of Zoology,1294,1,"1294<br/>Orpheus grasmus<br/>sylvia hortensis<br/>ad<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Sylvia hortensis (Gmelin, 1789)",species,not applicable,Orphean Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216509/stream"" target=""_url_details"">https://resolver.libis.be/FL17216509/stream</a>; <a href=""https://resolver.libis.be/FL17216510/stream"" target=""_url_details"">https://resolver.libis.be/FL17216510/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000324,KU Leuven,Museum of Zoology,673,1,"673<br/>Orpheusgrasmus<br/>sylvia hortensis<br/>ad<br/>♂<br/>Sylvia hortensis<br/>Orpheusgrasmücke","mounted: mounted skin",complete specimen,male,adult,"Sylvia hortensis (Gmelin, 1789)",species,not applicable,Orphean Warbler,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216523/stream"" target=""_url_details"">https://resolver.libis.be/FL17216523/stream</a>; <a href=""https://resolver.libis.be/FL17216524/stream"" target=""_url_details"">https://resolver.libis.be/FL17216524/stream</a>; <a href=""https://resolver.libis.be/FL17216525/stream"" target=""_url_details"">https://resolver.libis.be/FL17216525/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000325,KU Leuven,Museum of Zoology,671,1,"671<br/>Brilgrasmus<br/>sylvia conspillata<br/>ad.<br/>Brillengrasmücke<br/>Sylvia conspicillata<br/>A. SCHLÜTER KG., Naturw. Lehrmittelanstalt, Winnenden b. Stgt.","mounted: mounted skin",complete specimen,,adult,"Sylvia conspicillata Temminck, 1820",species,not applicable,Spectacled Warbler,Sylvia conspillata,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216538/stream"" target=""_url_details"">https://resolver.libis.be/FL17216538/stream</a>; <a href=""https://resolver.libis.be/FL17216539/stream"" target=""_url_details"">https://resolver.libis.be/FL17216539/stream</a>; <a href=""https://resolver.libis.be/FL17216540/stream"" target=""_url_details"">https://resolver.libis.be/FL17216540/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000326,KU Leuven,Museum of Zoology,1313,1,"1313<br/>Sardijnse grasmus<br/>sylvia sarda<br/>ad<br/>♂<br/>zomer","mounted: mounted skin",complete specimen,male,adult,"Sylvia sarda Temminck, 1820",species,not applicable,"Marmora's Warbler",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216551/stream"" target=""_url_details"">https://resolver.libis.be/FL17216551/stream</a>; <a href=""https://resolver.libis.be/FL17216552/stream"" target=""_url_details"">https://resolver.libis.be/FL17216552/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000327,KU Leuven,Museum of Zoology,1078,1,"1078<br/>Sardijnse grasmus<br/>sylvia sarda<br/>ad.","mounted: mounted skin",complete specimen,,adult,"Sylvia sarda Temminck, 1820",species,not applicable,"Marmora's Warbler",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216563/stream"" target=""_url_details"">https://resolver.libis.be/FL17216563/stream</a>; <a href=""https://resolver.libis.be/FL17216564/stream"" target=""_url_details"">https://resolver.libis.be/FL17216564/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000328,KU Leuven,Museum of Zoology,1302,1,"1302<br/>Provence grasmus<br/>sulvia undata<br/>ad ♂<br/>zomer","mounted: mounted skin",complete specimen,male,adult,"Sylvia undata (Boddaert, 1783)",species,not applicable,Dartford Warbler,sulvia undata,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216575/stream"" target=""_url_details"">https://resolver.libis.be/FL17216575/stream</a>; <a href=""https://resolver.libis.be/FL17216576/stream"" target=""_url_details"">https://resolver.libis.be/FL17216576/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000329,KU Leuven,Museum of Zoology,1065,1,"1065<br/>Provence grasmus<br/>sylvia undata<br/>Z - Frankrijk","mounted: mounted skin",complete specimen,,,"Sylvia undata (Boddaert, 1783)",species,not applicable,Dartford Warbler,sulvia undata,,,,Europe,FR,France,Southern France,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216587/stream"" target=""_url_details"">https://resolver.libis.be/FL17216587/stream</a>; <a href=""https://resolver.libis.be/FL17216588/stream"" target=""_url_details"">https://resolver.libis.be/FL17216588/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000330,KU Leuven,Museum of Zoology,1069,1,"1069<br/>Naumanns lijster<br/>turdus naumanni<br/>ad<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Turdus naumanni Temminck, 1820",species,not applicable,"Naumann's Thrush",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216599/stream"" target=""_url_details"">https://resolver.libis.be/FL17216599/stream</a>; <a href=""https://resolver.libis.be/FL17216600/stream"" target=""_url_details"">https://resolver.libis.be/FL17216600/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000331,KU Leuven,Museum of Zoology,1076,1,"1076<br/>Roodkeellijster<br/>turdus ruficollis ruficolliss<br/>ad<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Turdus ruficollis Pallas, 1776",species,not applicable,"Red-throated Thrush",turdus ruficollis ruficolliss,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216611/stream"" target=""_url_details"">https://resolver.libis.be/FL17216611/stream</a>; <a href=""https://resolver.libis.be/FL17216612/stream"" target=""_url_details"">https://resolver.libis.be/FL17216612/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000332,KU Leuven,Museum of Zoology,1260308456,1,"1260<br/>Baardgrasmus<br/>sylvia cantillans<br/>ad ♂<br/>Sylvia cantillans<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Sylvia cantillans (Pallas, 1764)",species,not applicable,Subalpine Warbler,,,,,Europe,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216625/stream"" target=""_url_details"">https://resolver.libis.be/FL17216625/stream</a>; <a href=""https://resolver.libis.be/FL17216626/stream"" target=""_url_details"">https://resolver.libis.be/FL17216626/stream</a>; <a href=""https://resolver.libis.be/FL17216627/stream"" target=""_url_details"">https://resolver.libis.be/FL17216627/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000333,KU Leuven,Museum of Zoology,1165,1,"1165<br/>Grote Lijster<br/>turdus viscivorus<br/>♀<br/>ad<br/>november<br/>POP","mounted: mounted skin",complete specimen,female,adult,"Turdus viscivorus Linnaeus, 1758",species,not applicable,Mistle Thrush,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216638/stream"" target=""_url_details"">https://resolver.libis.be/FL17216638/stream</a>; <a href=""https://resolver.libis.be/FL17216639/stream"" target=""_url_details"">https://resolver.libis.be/FL17216639/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000334,KU Leuven,Museum of Zoology,524,1,"524<br/>Grote lijster<br/>turdus viscivorus","mounted: mounted skin",complete specimen,,,"Turdus viscivorus Linnaeus, 1758",species,not applicable,Mistle Thrush,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216650/stream"" target=""_url_details"">https://resolver.libis.be/FL17216650/stream</a>; <a href=""https://resolver.libis.be/FL17216651/stream"" target=""_url_details"">https://resolver.libis.be/FL17216651/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000335,KU Leuven,Museum of Zoology,807,1,"807<br/>Baardgrasmus<br/>sylvia cantillans<br/>ad ♂<br/>Weißartgrasmücke<br/>Sylvia cantillans","mounted: mounted skin",complete specimen,male,adult,"Sylvia cantillans (Pallas, 1764)",species,not applicable,Subalpine Warbler,,,,,Europe,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216664/stream"" target=""_url_details"">https://resolver.libis.be/FL17216664/stream</a>; <a href=""https://resolver.libis.be/FL17216665/stream"" target=""_url_details"">https://resolver.libis.be/FL17216665/stream</a>; <a href=""https://resolver.libis.be/FL17216666/stream"" target=""_url_details"">https://resolver.libis.be/FL17216666/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000336,KU Leuven,Museum of Zoology,214,1,"214<br/>Grote lijster<br/>turdus viscivorus<br/>ad.","mounted: mounted skin",complete specimen,,adult,"Turdus viscivorus Linnaeus, 1758",species,not applicable,Mistle Thrush ,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216677/stream"" target=""_url_details"">https://resolver.libis.be/FL17216677/stream</a>; <a href=""https://resolver.libis.be/FL17216678/stream"" target=""_url_details"">https://resolver.libis.be/FL17216678/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000337,KU Leuven,Museum of Zoology,596,1,"596<br/>Grote lijster<br/>turdus viscivorus<br/>ad<br/>♂<br/>lente","mounted: mounted skin",complete specimen,male,adult,"Turdus viscivorus Linnaeus, 1758",species,not applicable,Mistle Thrush,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216689/stream"" target=""_url_details"">https://resolver.libis.be/FL17216689/stream</a>; <a href=""https://resolver.libis.be/FL17216690/stream"" target=""_url_details"">https://resolver.libis.be/FL17216690/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000338,KU Leuven,Museum of Zoology,959,1,"959<br/>Koperwiek<br/>turdus musicus<br/>ad.","mounted: mounted skin",complete specimen,,adult,"Turdus iliacus Linnaeus, 1758",species,not applicable,Redwing,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216701/stream"" target=""_url_details"">https://resolver.libis.be/FL17216701/stream</a>; <a href=""https://resolver.libis.be/FL17216702/stream"" target=""_url_details"">https://resolver.libis.be/FL17216702/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000339,KU Leuven,Museum of Zoology,1143,1,"1143<br/>Koperwierk<br/>turdus musicus<br/>ad ♀<br/>Beerse<br/>november<br/>Pop","mounted: mounted skin",complete specimen,female,adult,"Turdus iliacus Linnaeus, 1758",species,not applicable,Redwing,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Beerse",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216713/stream"" target=""_url_details"">https://resolver.libis.be/FL17216713/stream</a>; <a href=""https://resolver.libis.be/FL17216714/stream"" target=""_url_details"">https://resolver.libis.be/FL17216714/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000340,KU Leuven,Museum of Zoology,756,1,"756<br/>Vale lijster<br/>turdus obscurus<br/>ad<br/>♀","mounted: mounted skin",complete specimen,female,adult,"Turdus obscurus Gmelin, 1789",species,not applicable,Eyebrowed Thrush,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17216725/stream"" target=""_url_details"">https://resolver.libis.be/FL17216725/stream</a>; <a href=""https://resolver.libis.be/FL17216726/stream"" target=""_url_details"">https://resolver.libis.be/FL17216726/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
